2021-12-02 03:39:47 install gnupg-utils:amd64 <none> 2.2.27-2
2021-12-02 03:39:47 status half-installed gnupg-utils:amd64 2.2.27-2
2021-12-02 03:39:47 status unpacked gnupg-utils:amd64 2.2.27-2
2021-12-02 03:39:47 install libsqlite3-0:amd64 <none> 3.34.1-3
2021-12-02 03:39:47 status half-installed libsqlite3-0:amd64 3.34.1-3
2021-12-02 03:39:47 status unpacked libsqlite3-0:amd64 3.34.1-3
2021-12-02 03:39:47 install gpg:amd64 <none> 2.2.27-2
2021-12-02 03:39:47 status half-installed gpg:amd64 2.2.27-2
2021-12-02 03:39:47 status unpacked gpg:amd64 2.2.27-2
2021-12-02 03:39:47 install libncursesw6:amd64 <none> 6.2+20201114-2
2021-12-02 03:39:47 status half-installed libncursesw6:amd64 6.2+20201114-2
2021-12-02 03:39:47 status unpacked libncursesw6:amd64 6.2+20201114-2
2021-12-02 03:39:47 install pinentry-curses:amd64 <none> 1.1.0-4
2021-12-02 03:39:47 status half-installed pinentry-curses:amd64 1.1.0-4
2021-12-02 03:39:47 status unpacked pinentry-curses:amd64 1.1.0-4
2021-12-02 03:39:47 install gpg-agent:amd64 <none> 2.2.27-2
2021-12-02 03:39:47 status half-installed gpg-agent:amd64 2.2.27-2
2021-12-02 03:39:48 status unpacked gpg-agent:amd64 2.2.27-2
2021-12-02 03:39:48 install gpg-wks-client:amd64 <none> 2.2.27-2
2021-12-02 03:39:48 status half-installed gpg-wks-client:amd64 2.2.27-2
2021-12-02 03:39:48 status unpacked gpg-wks-client:amd64 2.2.27-2
2021-12-02 03:39:48 install gpg-wks-server:amd64 <none> 2.2.27-2
2021-12-02 03:39:48 status half-installed gpg-wks-server:amd64 2.2.27-2
2021-12-02 03:39:48 status unpacked gpg-wks-server:amd64 2.2.27-2
2021-12-02 03:39:48 install gpgsm:amd64 <none> 2.2.27-2
2021-12-02 03:39:48 status half-installed gpgsm:amd64 2.2.27-2
2021-12-02 03:39:48 status unpacked gpgsm:amd64 2.2.27-2
2021-12-02 03:39:48 install gnupg:all <none> 2.2.27-2
2021-12-02 03:39:48 status half-installed gnupg:all 2.2.27-2
2021-12-02 03:39:48 status unpacked gnupg:all 2.2.27-2
2021-12-02 03:39:48 startup packages configure
2021-12-02 03:39:48 configure libksba8:amd64 1.5.0-3 <none>
2021-12-02 03:39:48 status unpacked libksba8:amd64 1.5.0-3
2021-12-02 03:39:48 status half-configured libksba8:amd64 1.5.0-3
2021-12-02 03:39:48 status installed libksba8:amd64 1.5.0-3
2021-12-02 03:39:48 configure libsqlite3-0:amd64 3.34.1-3 <none>
2021-12-02 03:39:48 status unpacked libsqlite3-0:amd64 3.34.1-3
2021-12-02 03:39:48 status half-configured libsqlite3-0:amd64 3.34.1-3
2021-12-02 03:39:48 status installed libsqlite3-0:amd64 3.34.1-3
2021-12-02 03:39:48 configure libnpth0:amd64 1.6-3 <none>
2021-12-02 03:39:48 status unpacked libnpth0:amd64 1.6-3
2021-12-02 03:39:48 status half-configured libnpth0:amd64 1.6-3
2021-12-02 03:39:48 status installed libnpth0:amd64 1.6-3
2021-12-02 03:39:48 configure libassuan0:amd64 2.5.3-7.1 <none>
2021-12-02 03:39:48 status unpacked libassuan0:amd64 2.5.3-7.1
2021-12-02 03:39:48 status half-configured libassuan0:amd64 2.5.3-7.1
2021-12-02 03:39:48 status installed libassuan0:amd64 2.5.3-7.1
